SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
040,01,000,00000,00000,00000,0,A,Alabama,Alabama,4779736,4780127,4785161,4801108,4816089,4830533,4846411,4858979
162,01,000,00124,00000,00000,0,A,Abbeville city,Alabama,2688,2688,2682,2686,2649,2634,2622,2620
162,01,000,00460,00000,00000,0,A,Adamsville city,Alabama,4522,4522,4516,4496,4473,4449,4432,4400
162,01,000,00484,00000,00000,0,A,Addison town,Alabama,758,756,754,753,748,748,747,741
162,01,000,00676,00000,00000,0,A,Akron town,Alabama,356,356,355,345,345,342,338,337
162,01,000,00820,00000,00000,0,A,Alabaster city,Alabama,30352,30986,31095,31281,31587,31890,32115,32707
162,01,000,00988,00000,00000,0,A,Albertville city,Alabama,21160,21127,21151,21341,21397,21423,21394,21462
162,01,000,01132,00000,00000,0,A,Alexander City city,Alabama,14875,14875,14834,14822,14734,14841,14830,14718
162,01,000,01228,00000,00000,0,A,Aliceville city,Alabama,2486,2481,2478,2431,2430,2409,2385,2381
162,01,000,01396,00000,00000,0,A,Allgood town,Alabama,622,622,623,627,628,628,627,628
162,01,000,01660,00000,00000,0,A,Altoona town,Alabama,933,937,937,935,934,931,927,924
162,01,000,01708,00000,00000,0,A,Andalusia city,Alabama,9015,9015,9025,9094,9037,9045,9075,9063
162,01,000,01756,00000,00000,0,A,Anderson town,Alabama,282,282,282,281,280,279,279,278
162,01,000,01852,00000,00000,0,A,Anniston city,Alabama,23106,23120,23070,22909,22761,22616,22474,22347
162,01,000,02116,00000,00000,0,A,Arab city,Alabama,8050,8087,8102,8187,8232,8259,8259,8295
162,01,000,02260,00000,00000,0,A,Ardmore town,Alabama,1194,1194,1203,1248,1276,1305,1340,1357
162,01,000,02320,00000,00000,0,A,Argo town,Alabama,4071,4071,4079,4094,4127,4179,4181,4196
162,01,000,02428,00000,00000,0,A,Ariton town,Alabama,764,762,763,756,759,750,745,746
162,01,000,02500,00000,00000,0,A,Arley town,Alabama,357,359,358,358,355,355,355,352
162,01,000,02836,00000,00000,0,A,Ashford town,Alabama,2148,2139,2142,2152,2168,2158,2162,2158
162,01,000,02860,00000,00000,0,A,Ashland town,Alabama,2037,2037,2030,2003,1972,1972,1982,1983
162,01,000,02908,00000,00000,0,A,Ashville city,Alabama,2212,2212,2216,2219,2229,2253,2252,2256
162,01,000,02956,00000,00000,0,A,Athens city,Alabama,21897,21891,22012,22806,23438,23909,24504,24966
162,01,000,03004,00000,00000,0,A,Atmore city,Alabama,10194,10194,10191,10152,10114,10023,10059,10049
162,01,000,03028,00000,00000,0,A,Attalla city,Alabama,6048,6048,6045,6019,6005,5971,5935,5899
162,01,000,03076,00000,00000,0,A,Auburn city,Alabama,53380,53393,53746,54959,56994,58865,60562,62059
162,01,000,03220,00000,00000,0,A,Autaugaville town,Alabama,870,879,880,882,878,861,862,859
162,01,000,03364,00000,00000,0,A,Avon town,Alabama,543,543,544,543,544,538,535,530
162,01,000,03556,00000,00000,0,A,Babbie town,Alabama,603,603,604,608,605,606,607,606
162,01,000,03676,00000,00000,0,A,Baileyton town,Alabama,610,614,614,615,613,616,619,625
162,01,000,03724,00000,00000,0,A,Bakerhill town,Alabama,279,279,278,275,273,270,269,265
162,01,000,03940,00000,00000,0,A,Banks town,Alabama,179,179,179,179,180,176,174,174
162,01,000,04660,00000,00000,0,A,Bay Minette city,Alabama,8044,8318,8347,8495,8637,8916,9037,9118
162,01,000,04684,00000,00000,0,A,Bayou La Batre city,Alabama,2558,2553,2690,2669,2651,2639,2630,2621
162,01,000,04852,00000,00000,0,A,Bear Creek town,Alabama,1070,1068,1069,1065,1058,1050,1050,1047
162,01,000,04900,00000,00000,0,A,Beatrice town,Alabama,301,302,301,299,296,291,288,285
162,01,000,04948,00000,00000,0,A,Beaverton town,Alabama,201,195,194,191,191,190,189,187
162,01,000,05164,00000,00000,0,A,Belk town,Alabama,215,215,215,213,212,211,211,210
162,01,000,05692,00000,00000,0,A,Benton town,Alabama,49,49,49,48,47,47,46,46
162,01,000,05932,00000,00000,0,A,Berry town,Alabama,1148,1148,1148,1135,1127,1119,1118,1113
162,01,000,05980,00000,00000,0,A,Bessemer city,Alabama,27456,27463,27430,27354,27207,27032,26918,26730
162,01,000,06460,00000,00000,0,A,Billingsley town,Alabama,144,144,144,145,144,142,142,141
162,01,000,07000,00000,00000,0,A,Birmingham city,Alabama,212237,212204,212026,211915,211217,211841,212082,212461
162,01,000,07120,00000,00000,0,A,Black town,Alabama,207,207,207,207,209,207,207,208
